Date,Weight,Rep,Epley,Brzycki,Lombardi
4/2/23,245,6,293.951,292.4634146,293.0766437
4/17/23,245,6,293.951,292.4634146,293.0766437
4/20/23,225,10,299.925,308.4222459,283.2582177
4/24/23,235,6,281.953,280.5261324,281.1143317
4/26/23,260,3,285.974,282.9606099,290.1920252
5/2/23,275,3,302.4725,299.2852605,306.9338729
5/10/23,245,6,293.951,292.4634146,293.0766437
5/17/23,245,6,293.951,292.4634146,293.0766437
5/31/23,245,7,302.1095,302.2215554,297.6294408
6/6/23,285,3,313.4715,310.1683609,318.0951046
6/12/23,255,7,314.4405,314.5571291,309.7775812
6/15/23,265,4,300.298,297.1492472,304.4050641
6/19/23,240,8,303.936,306.2726595,295.4746592
6/27/23,245,8,310.268,312.65334,301.6303813
7/11/23,245,8,310.268,312.65334,301.6303813
8/12/23,275,3,302.4725,299.2852605,306.9338729
9/24/23,275,6,329.945,328.2752613,328.9635797
10/13/23,245,8,310.268,312.65334,301.6303813
10/16/23,275,5,320.7875,309.4059406,323.0202093
11/11/23,275,6,329.945,328.2752613,328.9635797
12/19/23,290,2,309.314,306.5850648,310.8143041
11/25/23,330,1,330,330,330
